Video,Total_Frames,Detected,Detection_Rate
adl-01-cam0-rgb,150,145,96.7
adl-02-cam0-rgb,180,150,83.3
adl-03-cam0-rgb,180,180,100.0
adl-04-cam0-rgb,150,150,100.0
adl-05-cam0-rgb,180,180,100.0
adl-06-cam0-rgb,230,222,96.5
adl-07-cam0-rgb,180,180,100.0
adl-08-cam0-rgb,180,173,96.1
adl-09-cam0-rgb,150,150,100.0
adl-10-cam0-rgb,300,300,100.0
adl-11-cam0-rgb,300,297,99.0
adl-12-cam0-rgb,250,232,92.8
adl-13-cam0-rgb,265,209,78.9
adl-14-cam0-rgb,235,216,91.9
adl-15-cam0-rgb,275,242,88.0
adl-16-cam0-rgb,240,188,78.3
adl-17-cam0-rgb,230,204,88.7
adl-18-cam0-rgb,265,210,79.2
adl-19-cam0-rgb,250,209,83.6
adl-20-cam0-rgb,270,233,86.3
adl-21-cam0-rgb,280,208,74.3
adl-22-cam0-rgb,240,177,73.8
adl-23-cam0-rgb,220,161,73.2
adl-24-cam0-rgb,70,70,100.0
adl-25-cam0-rgb,110,110,100.0
adl-26-cam0-rgb,95,95,100.0
adl-27-cam0-rgb,100,100,100.0
adl-28-cam0-rgb,85,85,100.0
adl-29-cam0-rgb,125,125,100.0
adl-30-cam0-rgb,400,218,54.5
adl-31-cam0-rgb,250,249,99.6
adl-32-cam0-rgb,200,195,97.5
adl-33-cam0-rgb,200,180,90.0
adl-34-cam0-rgb,191,191,100.0
adl-35-cam0-rgb,280,273,97.5
adl-36-cam0-rgb,340,308,90.6
adl-37-cam0-rgb,350,321,91.7
adl-38-cam0-rgb,345,221,64.1
adl-39-cam0-rgb,270,193,71.5
adl-40-cam0-rgb,330,222,67.3
fall-01-cam0-rgb,160,120,75.0
fall-01-cam1-rgb,160,64,40.0
fall-02-cam0-rgb,110,103,93.6
fall-02-cam1-rgb,110,110,100.0
fall-03-cam0-rgb,215,215,100.0
fall-03-cam1-rgb,216,127,58.8
fall-04-cam0-rgb,96,60,62.5
fall-04-cam1-rgb,96,96,100.0
fall-05-cam0-rgb,151,131,86.8
fall-05-cam1-rgb,151,60,39.7
fall-06-cam0-rgb,100,100,100.0
fall-06-cam1-rgb,100,100,100.0
fall-07-cam0-rgb,156,150,96.2
fall-07-cam1-rgb,156,145,92.9
fall-08-cam0-rgb,91,91,100.0
fall-08-cam1-rgb,91,85,93.4
fall-09-cam0-rgb,185,180,97.3
fall-09-cam1-rgb,185,160,86.5
fall-10-cam0-rgb,130,116,89.2
fall-10-cam1-rgb,130,129,99.2
fall-11-cam0-rgb,130,130,100.0
fall-11-cam1-rgb,130,105,80.8
fall-12-cam0-rgb,110,110,100.0
fall-12-cam1-rgb,110,110,100.0
fall-13-cam0-rgb,85,85,100.0
fall-13-cam1-rgb,85,27,31.8
fall-14-cam0-rgb,61,61,100.0
fall-14-cam1-rgb,61,61,100.0
fall-15-cam0-rgb,71,57,80.3
fall-15-cam1-rgb,71,27,38.0
fall-16-cam0-rgb,55,55,100.0
fall-16-cam1-rgb,55,52,94.5
fall-17-cam0-rgb,95,89,93.7
fall-17-cam1-rgb,95,19,20.0
fall-18-cam0-rgb,65,44,67.7
fall-18-cam1-rgb,65,65,100.0
fall-19-cam0-rgb,100,59,59.0
fall-19-cam1-rgb,100,45,45.0
fall-20-cam0-rgb,110,110,100.0
fall-20-cam1-rgb,110,110,100.0
fall-21-cam0-rgb,55,48,87.3
fall-21-cam1-rgb,55,15,27.3
fall-22-cam0-rgb,56,51,91.1
fall-22-cam1-rgb,56,54,96.4
fall-23-cam0-rgb,75,55,73.3
fall-23-cam1-rgb,75,29,38.7
fall-24-cam0-rgb,60,54,90.0
fall-24-cam1-rgb,60,58,96.7
fall-25-cam0-rgb,85,75,88.2
fall-25-cam1-rgb,85,24,28.2
fall-26-cam0-rgb,61,43,70.5
fall-26-cam1-rgb,61,57,93.4
fall-27-cam0-rgb,92,82,89.1
fall-27-cam1-rgb,92,27,29.3
fall-28-cam0-rgb,66,56,84.8
fall-28-cam1-rgb,66,65,98.5
fall-29-cam0-rgb,99,79,79.8
fall-29-cam1-rgb,99,39,39.4
fall-30-cam0-rgb,70,52,74.3
fall-30-cam1-rgb,70,68,97.1
OVERALL,14932,12566,84.2
